"id","temperature","pressure","humidity","gas_resistance","altitude","pm_1","pm_2","pm_10","created_at"
4065,"29","1195","0.389609294","48","-12","1220","1845","1916","2022-02-21 03:35:08.977557+01"
4066,"25","1746","0.781027206","24","5","1289","208","2981","2022-10-16 05:51:08.977557+02"
4067,"23","1460","0.847297138","39","-60","2544","635","1069","2019-05-08 17:40:07.977557+02"
4068,"29","1706","0.24858344","46","36","2513","1621","2569","2021-04-04 04:18:14.977557+02"
4069,"36","1924","0.021896424","49","-1","2755","2099","669","2023-12-24 13:38:37.977557+01"
4070,"39","1436","0.899832632","55","14","439","1367","510","2020-09-24 16:17:10.977557+02"
4071,"12","1320","0.043738171","54","-52","2193","719","102","2020-06-08 05:23:07.977557+02"
4072,"30","828","0.192880212","30","-29","278","850","2059","2022-07-16 05:15:18.977557+02"
4073,"24","1004","0.36111576","17","16","1294","2410","1523","2023-07-01 02:49:16.977557+02"
4074,"19","1336","0.286520619","34","-11","2592","1636","202","2022-02-12 15:32:11.977557+01"
4075,"12","1532","0.574660622","17","16","549","955","1878","2021-09-19 19:20:48.977557+02"
4076,"32","1862","0.590505316","47","-55","52","2338","888","2020-11-22 02:20:53.977557+01"
4077,"35","1156","0.910897186","32","3","2188","2708","2283","2022-07-15 16:01:42.977557+02"
4078,"36","997","0.267971104","60","17","1167","113","652","2021-12-21 08:09:30.977557+01"
4079,"13","1193","0.519012868","12","-23","745","1711","992","2023-04-07 05:33:02.977557+02"
4080,"22","1470","0.593724084","12","15","1864","1763","940","2019-03-26 09:28:59.977557+01"
4081,"28","1617","0.031408994","17","10","323","69","2619","2020-07-20 20:43:17.977557+02"
4082,"28","1645","0.04032677","14","14","398","1613","129","2020-04-20 19:15:58.977557+02"
4083,"13","1640","0.517858184","11","-40","2291","948","481","2019-11-13 05:41:45.977557+01"
4084,"16","1774","0.126693645","12","-29","1359","724","2399","2023-11-19 08:57:59.977557+01"
4085,"24","1118","0.52461459","41","-55","2366","2789","1453","2020-05-20 08:32:50.977557+02"
4086,"35","1669","0.079503271","34","-29","167","1605","1516","2022-04-11 19:31:36.977557+02"
4087,"21","1927","0.168450371","13","-10","1116","1340","392","2022-05-25 15:03:33.977557+02"
4088,"25","937","0.664514631","43","33","2771","46","2692","2021-11-14 18:58:10.977557+01"
4089,"35","1968","0.471975102","55","34","536","2629","1743","2019-12-09 10:57:20.977557+01"
4090,"37","1851","0.813216217","55","14","1516","882","2883","2023-07-22 11:49:10.977557+02"
4091,"16","1793","0.750393675","25","-50","2408","2534","2526","2022-06-06 11:38:25.977557+02"
4092,"15","1623","0.23627383","49","-13","976","1363","1000","2019-01-09 18:33:38.977557+01"
4093,"38","1713","0.951703224","41","-60","1877","981","1198","2022-02-14 15:28:48.977557+01"
4094,"30","1993","0.916055471","24","-24","1067","1261","572","2021-10-16 14:51:19.977557+02"
4095,"31","1831","0.567524433","39","-48","2953","1209","1909","2023-01-20 04:51:28.977557+01"
4096,"32","924","0.73614204","12","-4","2062","2288","1239","2023-01-12 14:36:50.977557+01"
4097,"19","983","0.850484588","35","-48","1167","2689","780","2020-01-16 08:53:06.977557+01"
4098,"32","1864","0.528953011","39","-6","2237","737","1798","2019-07-14 13:48:38.977557+02"
4099,"26","950","0.755040256","9","-18","1928","1331","1375","2023-05-02 07:22:06.977557+02"
4100,"22","1790","0.934183787","12","-17","2401","1686","2340","2020-12-12 18:21:16.977557+01"
4101,"25","1722","0.283820551","42","-15","1122","1595","1697","2021-04-03 19:55:39.977557+02"
4102,"12","1703","0.592908762","27","-47","2924","61","2269","2022-07-07 02:59:49.977557+02"
4103,"22","1146","0.443451276","45","38","2947","761","2316","2020-02-22 09:19:24.977557+01"
4104,"22","1722","0.896784091","19","30","2303","2160","853","2019-07-18 09:58:40.977557+02"
4105,"27","1419","0.368227135","51","-10","2815","2158","655","2023-12-12 13:23:22.977557+01"
4106,"40","1567","0.575388816","42","-20","2551","2309","457","2021-06-06 17:16:22.977557+02"
4107,"13","1893","0.177247683","54","-49","2207","115","1318","2021-11-23 05:43:30.977557+01"
4108,"20","1233","0.300633914","55","10","2937","2969","2686","2022-04-20 12:09:57.977557+02"
4109,"10","816","0.296509281","48","50","2573","1567","156","2023-10-09 12:21:11.977557+02"
4110,"12","1348","0.680758976","28","32","510","2895","2018","2020-11-28 12:54:11.977557+01"
4111,"34","1790","0.40050745","40","-7","987","1498","842","2019-07-08 05:12:13.977557+02"
4112,"32","1359","0.196420622","49","5","2645","1429","1017","2019-03-18 07:39:13.977557+01"
4113,"27","814","0.644577167","38","-20","1696","1304","2088","2022-01-01 06:03:46.977557+01"
4114,"16","1294","0.619120416","59","-11","1807","2191","2259","2023-08-28 07:15:10.977557+02"
4115,"32","1689","0.993357005","18","-40","2059","1570","151","2021-08-26 12:54:07.977557+02"
4116,"15","1049","0.824425574","51","-48","1833","1701","2347","2023-10-11 23:18:28.977557+02"
4117,"29","1869","0.573794963","12","18","2037","1013","2907","2020-01-20 03:13:11.977557+01"
4118,"34","1281","0.750814086","14","49","2565","2589","1731","2022-01-06 16:38:22.977557+01"
4119,"18","1649","0.730942244","35","-6","2272","2622","1243","2021-03-27 04:18:06.977557+01"
4120,"16","1205","0.025514891","56","-58","382","2663","1090","2021-12-10 18:33:09.977557+01"
4121,"19","1425","0.899461223","12","-42","1613","2394","292","2019-02-24 14:55:55.977557+01"
4122,"21","1189","0.861510087","31","-43","1747","879","76","2023-07-10 06:18:14.977557+02"
4123,"12","1451","0.91008747","19","-18","2580","138","54","2020-06-14 15:51:19.977557+02"
4124,"30","1344","0.992864674","20","24","970","2079","2961","2022-07-07 13:59:02.977557+02"
4125,"14","1867","0.308382732","54","-15","2261","429","497","2019-02-14 05:29:11.977557+01"
4126,"25","906","0.620449669","29","14","2592","769","375","2020-09-11 21:37:32.977557+02"
4127,"17","1284","0.284477967","45","-21","965","1708","2560","2019-11-11 13:37:53.977557+01"
4128,"17","1961","0.233508025","42","-40","1263","2731","1589","2022-02-03 05:53:07.977557+01"
4129,"33","1225","0.667148364","52","29","120","1320","2547","2021-02-19 07:11:22.977557+01"
4130,"39","1660","0.575005067","21","23","422","1545","1639","2020-12-17 17:12:08.977557+01"
4131,"13","1717","0.49417413","27","46","1781","264","2825","2021-06-06 20:14:11.977557+02"
4132,"27","917","0.935986492","40","-3","2003","2926","2487","2023-02-13 02:52:05.977557+01"
4133,"35","999","0.128665078","43","-9","2797","1418","586","2020-07-21 11:31:05.977557+02"
4134,"16","1199","0.082310752","35","-46","2966","2340","1906","2022-05-14 23:50:23.977557+02"
4135,"27","1840","0.662349921","34","-45","231","2220","482","2021-09-01 21:10:30.977557+02"
4136,"25","934","0.332233424","41","-48","1940","1533","383","2023-12-04 02:17:03.977557+01"
4137,"30","891","0.479453443","54","-16","1575","2073","348","2020-10-02 04:32:52.977557+02"
4138,"11","1470","0.838400616","27","38","1196","1880","2349","2019-05-19 08:56:08.977557+02"
4139,"34","1643","0.701795635","10","19","436","1357","466","2020-11-11 08:10:11.977557+01"
4140,"19","1830","0.636052724","23","-33","2620","498","793","2023-03-26 03:59:42.977557+02"
4141,"18","850","0.836964617","37","2","2511","2357","2157","2019-10-28 00:47:27.977557+01"
4142,"25","1831","0.544201329","18","-9","1049","2817","973","2022-06-19 09:24:41.977557+02"
4143,"11","1498","0.937665597","28","-49","2698","302","1525","2020-03-25 20:26:34.977557+01"
4144,"22","1690","0.095783967","21","25","299","1420","741","2022-11-11 02:16:12.977557+01"
4145,"34","1965","0.153894589","15","-54","2727","1289","2461","2023-07-02 11:32:09.977557+02"
4146,"18","1577","0.696095523","59","50","47","1379","641","2019-04-02 04:40:47.977557+02"
4147,"39","1537","0.475087931","29","-60","1276","787","2361","2023-08-09 07:17:11.977557+02"
4148,"34","885","0.663179901","51","34","2962","2930","184","2019-05-28 12:27:03.977557+02"
4149,"32","1964","0.709572762","16","28","107","1154","1273","2019-04-17 16:23:27.977557+02"
4150,"25","923","0.72497972","15","3","1744","2796","771","2021-01-19 05:09:54.977557+01"
4151,"34","1009","0.335579533","15","10","1061","2289","2253","2023-08-22 07:17:59.977557+02"
4152,"17","868","0.012817041","48","-39","142","1316","1521","2022-12-25 05:11:20.977557+01"
4153,"23","855","0.833795738","51","-41","1060","1835","2810","2022-07-12 01:12:04.977557+02"
4154,"38","1071","0.323541585","24","-57","1498","948","2950","2022-03-13 03:43:50.977557+01"
4155,"29","1172","0.656140294","49","-32","2312","2741","2376","2021-06-11 22:50:47.977557+02"
4156,"31","1217","0.243869898","27","46","1787","2402","1143","2022-10-14 19:48:25.977557+02"
4157,"10","1809","0.889471528","29","46","1138","130","1042","2022-02-05 11:57:45.977557+01"
4158,"39","1854","0.377444282","21","-25","1811","622","1249","2022-06-02 04:28:22.977557+02"
4159,"11","1226","0.572809422","39","-3","2854","750","1363","2019-01-03 07:50:35.977557+01"
4160,"22","1753","0.635746106","49","-6","2089","2688","118","2020-01-05 11:13:01.977557+01"
4161,"12","945","0.371445799","16","19","2879","2606","2242","2021-12-22 05:17:27.977557+01"
4162,"33","1922","0.908545522","44","-26","493","2673","2999","2022-07-18 10:31:53.977557+02"
4163,"38","1186","0.38378686","60","20","533","2773","1676","2022-09-11 20:56:46.977557+02"
4164,"40","1847","0.548082909","50","-54","1517","217","2314","2020-11-16 10:50:30.977557+01"
4165,"13","1198","0.102903356","36","21","1477","919","771","2021-10-10 20:46:18.977557+02"
4166,"19","854","0.20518814","50","24","1205","1259","1238","2023-03-25 20:40:40.977557+01"
4167,"21","1537","0.334366097","54","13","158","160","1968","2020-08-01 03:07:36.977557+02"
4168,"25","869","0.09337455","39","32","547","2328","2621","2023-02-27 18:40:22.977557+01"
4169,"13","1910","0.115335486","10","-4","1292","2920","1507","2021-10-26 14:35:13.977557+02"
4170,"13","1334","0.48461866","51","-36","780","2648","876","2021-06-16 18:43:25.977557+02"
4171,"15","1471","0.496005584","46","-23","1797","870","1175","2019-12-28 13:21:23.977557+01"
4172,"34","1960","0.168012841","28","-52","1420","1930","1411","2021-01-27 19:37:41.977557+01"
4173,"35","1495","0.566473438","59","22","316","1550","1975","2022-12-24 20:18:26.977557+01"
4174,"16","1015","0.484652718","11","-32","531","626","1275","2019-03-05 03:31:01.977557+01"
4175,"39","1615","0.425420553","37","13","77","1765","2918","2021-08-02 11:27:25.977557+02"
4176,"19","1265","0.083058198","42","31","519","134","1050","2021-02-26 00:01:54.977557+01"
4177,"16","1137","0.234021455","53","18","2668","1969","2521","2019-03-07 20:22:32.977557+01"
4178,"15","1739","0.20022811","60","-25","1058","2358","573","2021-11-24 20:24:38.977557+01"
4179,"16","1423","0.250722087","30","-31","1684","1442","712","2022-04-17 20:49:01.977557+02"
4180,"33","1163","0.692663635","48","36","2541","1146","337","2020-12-08 17:25:04.977557+01"
4181,"11","1434","0.659638231","57","-45","2564","2363","1767","2021-07-13 07:26:41.977557+02"
4182,"19","978","0.270445892","60","50","2093","1358","406","2023-04-23 20:15:25.977557+02"
4183,"40","1172","0.680932679","43","10","2744","1082","2652","2022-01-07 03:07:59.977557+01"
4184,"35","920","0.362992954","33","-38","2440","12","58","2022-10-06 05:35:15.977557+02"
4185,"27","1031","0.142086742","22","49","631","1434","2405","2021-03-16 09:22:17.977557+01"
4186,"22","1322","0.838824013","53","32","996","1486","1342","2023-12-24 21:06:49.977557+01"
4187,"15","809","0.039613264","50","34","2802","1377","11","2021-01-15 00:04:16.977557+01"
4188,"37","871","0.065375879","34","15","1513","555","98","2020-06-11 19:41:29.977557+02"
4189,"14","922","0.359331182","14","-33","924","2566","2304","2019-01-04 15:32:39.977557+01"
4190,"22","1687","0.77110127","29","-35","41","1192","1068","2022-04-18 11:32:12.977557+02"
4191,"37","1349","0.877103208","19","-55","2914","1219","698","2021-12-03 11:12:03.977557+01"
4192,"14","1596","0.322221655","58","50","2909","2786","1236","2023-06-28 22:13:44.977557+02"
4193,"11","1804","0.375662926","18","-20","2688","1742","2611","2020-12-19 05:57:22.977557+01"
4194,"39","1655","0.726779391","57","-51","1973","2276","2882","2020-03-06 21:59:40.977557+01"
4195,"29","1440","0.048498861","59","-16","1928","413","2580","2021-08-01 21:05:16.977557+02"
4196,"30","1086","0.351395778","32","-9","2235","1809","238","2023-01-15 13:27:58.977557+01"
4197,"16","1207","0.095918799","44","44","23","41","1920","2023-09-16 08:10:25.977557+02"
4198,"27","1529","0.844518076","29","-17","757","2003","997","2019-12-20 08:18:08.977557+01"
4199,"34","1846","0.14605886","41","-27","2197","1109","1840","2020-09-12 09:16:43.977557+02"
4200,"21","1986","0.130404127","15","3","1476","2057","2310","2019-02-09 05:21:57.977557+01"
4201,"36","1198","0.438726236","12","-60","1340","319","1394","2023-09-05 09:38:45.977557+02"
4202,"22","856","0.788158877","17","42","1252","2973","1826","2019-12-11 02:18:06.977557+01"
4203,"16","804","0.952801552","27","-54","2328","914","742","2021-08-26 18:31:01.977557+02"
4204,"38","824","0.51072807","19","-29","1531","2006","819","2023-02-02 00:58:23.977557+01"
4205,"40","1581","0.459333239","38","21","846","2751","36","2022-08-06 10:52:30.977557+02"
4206,"38","1533","0.51686768","43","39","225","804","2236","2019-03-23 15:17:28.977557+01"
4207,"19","1071","0.68522728","59","22","2155","948","1543","2021-08-11 02:38:48.977557+02"
4208,"37","811","0.738745584","35","-44","1601","305","966","2019-10-21 23:18:39.977557+02"
4209,"15","1771","0.725503693","56","-6","2710","2467","1723","2022-07-03 09:55:10.977557+02"
4210,"29","982","0.410680445","45","-28","2073","1121","1111","2019-08-17 05:11:46.977557+02"
4211,"27","916","0.018030501","53","-33","1895","2212","1933","2019-09-23 20:46:34.977557+02"
4212,"10","810","0.035505032","57","-56","928","2548","2426","2019-12-20 06:49:48.977557+01"
4213,"12","1524","0.497597137","14","10","255","1650","1068","2022-11-28 02:51:10.977557+01"
4214,"33","1524","0.200562753","34","-8","2756","2713","227","2021-10-18 20:09:55.977557+02"
4215,"28","1616","0.978204182","46","28","2506","469","1125","2020-06-22 02:03:21.977557+02"
4216,"23","1118","0.639670491","16","-28","2947","577","2189","2023-11-10 14:56:17.977557+01"
4217,"18","1633","0.626398226","57","0","499","887","1547","2019-10-06 16:14:35.977557+02"
4218,"32","1583","0.633902131","13","-42","1225","1602","2649","2022-01-03 18:15:58.977557+01"
4219,"25","1368","0.550624809","53","41","1454","2944","1139","2019-01-23 01:11:34.977557+01"
4220,"33","846","0.018266255","23","21","1510","2136","2491","2022-02-18 05:34:56.977557+01"
4221,"39","1411","0.81057216","24","-26","2328","1755","1880","2021-01-09 04:34:17.977557+01"
4222,"16","1733","0.438031693","59","26","149","537","1530","2019-10-05 06:08:58.977557+02"
4223,"22","1509","0.211305346","42","-16","2244","2008","290","2022-03-06 07:24:03.977557+01"
4224,"16","1403","0.144565165","25","28","1348","1519","1902","2022-03-18 00:45:37.977557+01"
4225,"31","1129","0.537598245","11","39","2331","242","2060","2019-07-01 20:43:10.977557+02"
4226,"18","1794","0.080769207","39","38","2909","2475","1837","2021-12-08 03:28:45.977557+01"
4227,"30","814","0.62599169","46","-4","2125","2183","703","2023-12-26 03:14:51.977557+01"
4228,"19","1056","0.861675655","54","26","1373","1888","850","2022-04-21 02:14:16.977557+02"
4229,"31","897","0.10042087","24","23","1457","2530","336","2021-10-25 23:35:06.977557+02"
4230,"16","1304","0.976354562","51","-57","2658","1049","2489","2023-03-14 15:05:22.977557+01"
4231,"15","1403","0.256369586","55","-21","2941","983","1871","2021-01-03 11:27:16.977557+01"
4232,"21","1950","0.384546385","58","-5","2893","2321","2398","2022-08-07 23:30:35.977557+02"
4233,"39","1405","0.502239301","27","14","2754","1014","2305","2023-07-17 05:20:06.977557+02"
4234,"30","1999","0.021742673","12","18","368","1136","547","2019-06-05 21:47:03.977557+02"
4235,"33","1297","0.238956493","51","-37","1815","2969","2625","2019-07-22 18:52:07.977557+02"
4236,"10","1275","0.700971042","37","-60","758","1773","1886","2023-07-26 06:38:53.977557+02"
4237,"32","846","0.999665474","56","44","1260","2623","1866","2022-01-25 01:10:31.977557+01"
4238,"39","1924","0.273440555","18","-22","1245","603","1228","2019-02-07 05:57:50.977557+01"
4239,"16","1578","0.219015914","43","-43","887","2694","1685","2020-05-13 06:43:10.977557+02"
4240,"18","1432","0.974554228","48","-60","460","1375","1226","2020-09-24 11:28:27.977557+02"
4241,"31","1692","0.293733958","50","8","2819","1017","1560","2020-05-22 09:04:08.977557+02"
4242,"39","1170","0.139900612","17","-56","2493","797","757","2020-05-24 23:37:56.977557+02"
4243,"18","1300","0.352291193","28","-19","477","1689","1300","2023-10-17 14:48:35.977557+02"
4244,"39","1981","0.242824446","23","-18","2552","1675","1658","2021-08-04 12:37:52.977557+02"
4245,"19","1673","0.707877633","59","-24","127","2526","1918","2021-01-23 05:11:13.977557+01"
4246,"26","1994","0.239291015","46","-24","869","2051","669","2023-02-18 06:50:53.977557+01"
4247,"31","1203","0.653901016","33","-32","24","377","1724","2020-01-09 15:13:32.977557+01"
4248,"37","1621","0.176005409","36","38","2513","1634","3000","2021-08-27 04:48:34.977557+02"
4249,"32","1535","0.096726123","16","49","1485","2287","1628","2020-02-24 15:36:59.977557+01"
4250,"20","1509","0.663344989","60","-52","516","1544","2515","2023-04-24 08:53:33.977557+02"
4251,"38","816","0.090952222","40","-57","1638","2385","587","2019-01-08 13:56:25.977557+01"
4252,"16","1033","0.697458766","51","43","683","2218","1324","2021-12-14 17:59:43.977557+01"
4253,"17","1319","0.370459438","15","48","1883","1556","2592","2019-09-13 20:44:51.977557+02"
4254,"18","1338","0.124106067","46","43","1173","2247","2891","2022-09-05 11:46:13.977557+02"
4255,"18","1827","0.4409936","26","40","153","2318","2028","2019-01-03 13:45:13.977557+01"
4256,"28","1087","0.876339761","59","-24","2033","2856","83","2020-08-05 18:52:17.977557+02"
4257,"28","1749","0.443575529","31","-1","2807","900","1985","2021-08-03 06:38:39.977557+02"
4258,"14","1511","0.222183945","47","5","2135","2276","93","2019-02-06 09:14:20.977557+01"
4259,"39","827","0.943336107","27","-49","2418","2560","823","2022-03-02 02:58:20.977557+01"
4260,"35","899","0.924358178","24","37","2952","2334","2753","2022-04-09 13:29:25.977557+02"
4261,"40","831","0.311491403","48","-45","1447","607","1837","2022-04-23 20:19:04.977557+02"
4262,"29","1341","0.961103719","48","-23","314","2743","2719","2020-06-11 10:08:38.977557+02"
4263,"14","1585","0.808004145","45","-15","1781","918","2286","2021-09-01 06:33:31.977557+02"
